Date,Bitcoin,Ethereum,Gold
11/1/2024,"$69,467.29","$2,510.27","$2,736.43"
11/2/2024,"$69,358.94","$2,493.44","$2,736.43"
11/3/2024,"$68,738.18","$2,456.57","$2,736.43"
11/4/2024,"$67,807.48","$2,397.00","$2,736.65"
11/5/2024,"$69,380.73","$2,422.24","$2,743.79"
11/6/2024,"$75,646.55","$2,724.27","$2,659.36"
11/7/2024,"$75,920.00","$2,897.65","$2,706.87"
11/8/2024,"$76,566.73","$2,964.09","$2,684.64"
11/9/2024,"$76,716.06","$3,127.97","$2,684.64"
11/10/2024,"$80,428.92","$3,186.07","$2,684.64"
11/11/2024,"$88,770.73","$3,375.78","$2,619.72"
11/12/2024,"$88,035.43","$3,247.21","$2,598.48"
11/13/2024,"$90,493.82","$3,191.45","$2,572.94"
11/14/2024,"$87,340.40","$3,059.04","$2,565.35"
11/15/2024,"$91,058.36","$3,090.76","$2,562.85"
11/16/2024,"$90,636.24","$3,134.25","$2,562.85"
11/17/2024,"$89,886.69","$3,076.79","$2,562.85"
11/18/2024,"$90,520.30","$3,209.21","$2,611.85"
11/19/2024,"$92,435.89","$3,111.70","$2,632.20"
11/20/2024,"$94,393.15","$3,072.24","$2,650.06"
11/21/2024,"$98,439.09","$3,359.90","$2,669.73"
11/22/2024,"$99,024.03","$3,331.77","$2,715.25"
11/23/2024,"$97,778.77","$3,397.51","$2,715.25"
11/24/2024,"$98,028.18","$3,365.16","$2,715.25"
11/25/2024,"$93,000.01","$3,414.72","$2,625.57"
11/26/2024,"$91,929.54","$3,323.67","$2,632.76"
11/27/2024,"$95,951.19","$3,657.63","$2,635.74"
11/28/2024,"$95,665.53","$3,579.11","$2,637.62"
11/29/2024,"$97,490.56","$3,593.67","$2,649.85"
11/30/2024,"$96,465.42","$3,706.35","$2,649.85"
